Status,Project Name,Project Type,URL,Launch Date,Home Department,Nested Department,Top Level School or Major Office,Client/PI,Client Catergory,UConn Affiliation,Lane,Grant Y/N, Grant Value ,Sponsor,i3 Primary,Project Contact Email,Current i3 Staffing ,i3 Staffing History,Cycle Out,Cycle In,App Profile Document Link
1 - being built,Academic Standing Website,website,,,Undergraduate Advising,,Undergraduate Advising,Erin Ciaramboli,Administrative Department,Internal,Internal,N,,,Sue,,Joel S.,Sue S.,,,
1 - being built,"Center for Excellence in Developmental Disabilities Education, Research and Service? (UCEDD) Website Redesign",website,,,UConn Center for Excellence in Developmental Disabilities,,UConn Health,Mary Beth Bruder,,Internal,Core,y," $10,000,000.00 ",,Phoebe,,"Joel S., Phoebe L.","Lauren B., Brian D., Brian K., Kailey M., Quynh N., Joel S.",,,
1 - being built,Early Childhood Intervention Personnel Center (ECIPC) Website Redesign,website,,,Early Childhood Intervention Personnel Center,Center for Excellence in Developmental Disabilities,UConn Health,Mary Beth Bruder,,Internal,Core,y,,,Phoebe,,"Joel S., Phoebe L.",Joel S.,,,
1 - being built,Early College Experience Website,website,,,UConn Early College Experience,Office of Early College Experience Programs,Institute for Student Success,Chris Todd,Fee-based Program,Internal,Internal,N,,,Sue,,Sue S.,Sue S.,,,
1 - being built,Equitable Teaching Lab Website,website,,,Equitable Teaching Lab,,Neag School of Education,Milagros Castillo-Montoya,,Internal,Internal,N,,,Sue,,Sue S.,Sue S.,,,
1 - being built,Summer Session Website,website,https://summersession.uconn.edu/,,Office of Summer and Winter Programs,,Office of Summer and Winter Programs,Mick Pigot,Fee-based Program,Internal,Internal,N,,,Sue,,Sue S.,Sue S.,,,
1 - being built,UCHI Essay Collection,website,,,UConn Humanities Institute,,UConn Humanities Institute,Anna Mae Duane,,Internal,Core,Y,,,Sara,,"Natalie L., Joel S., Sara S.","Brooke G., Natalie L. Joel S., Sara S.",,,
1 - being built,Undergraduate Advising Website,website,,,Undergraduate Advising,,Undergraduate Advising,Erin Ciaramboli,Administrative Department,Internal,Internal,N,,,Sue,,Sue S.,Sue S.,,,
1 - being built,Well-Being Collective Website,website,,,Well-being Collective,,Well-Being Collective,Kathryn Roy,,Internal,Core,,,,Brooke,,"Brooke G., Phoebe L.","Brooke G., Phoebe L.",,,
1 - being built,Effort Reporting & Commitments (ERC),webapp,,,Office of the Vice President for Research,,Office of the Vice President for Research,Jen Lamontagne,,Internal,Internal,,,,BK,,Brian K.,Brian K.,,,
